Designator,Mid X,Mid Y,Rotation,Layer
C1,7.481,15.4985,270.0,bottom
C10,115.1395,24.926,0.0,top
C11,100.487,25.826,90.0,top
C12,110.087,23.631,90.0,top
C13,150.1621,24.926,0.0,top
C14,112.187,25.826,90.0,top
C15,145.087,23.631,90.0,top
C16,91.7911,24.926,0.0,top
C17,147.187,25.826,90.0,top
C18,135.487,25.826,90.0,top
C19,138.4879,24.926,0.0,top
C2,21.405,15.4985,270.0,bottom
C20,133.387,23.631,90.0,top
C21,123.787,25.826,90.0,top
C22,126.8137,24.926,0.0,top
C23,121.687,23.631,90.0,top
C24,52.038,68.252,0.0,top
C25,135.421,95.632,180.0,top
C26,136.881,83.305,180.0,top
C27,38.583,52.7135,90.0,top
C28,42.85525,61.118452,270.0,top
C29,40.679,52.7345,90.0,top
C3,35.123,15.4985,270.0,bottom
C31,47.883,59.2345,90.0,top
C32,86.687,23.631,90.0,top
C33,52.011,66.187,0.0,top
C34,29.73,70.16,180.0,top
C35,53.989,82.891,0.0,top
C36,53.989,80.769,0.0,top
C37,29.653,64.2855,180.0,top
C38,29.651,62.2015,180.0,top
C39,30.850256,84.392244,180.0,top
C4,49.016,15.5015,270.0,bottom
C40,54.229,72.023,0.0,top
C41,34.08,86.9965,90.0,top
C42,56.1325,62.54,270.0,top
C43,35.759,63.3405,270.0,top
C44,64.7055,62.598,270.0,top
C45,58.3125,62.508,270.0,top
C46,33.614,63.3405,270.0,top
C47,36.176,87.016,90.0,top
C48,29.761,68.05,180.0,top
C49,51.408,61.3455,270.0,top
C5,62.592,15.4955,270.0,bottom
C50,45.9665,88.482,0.0,top
C51,53.639,61.3735,270.0,top
C52,31.099,77.312,180.0,top
C6,76.594,15.4985,270.0,bottom
C7,103.4653,24.926,0.0,top
C8,88.787,25.826,90.0,top
C9,98.387,23.631,90.0,top
D1,7.1695,18.839,180.0,top
D10,83.153999,100.642,0.0,top
D11,112.088,100.642,0.0,top
D12,16.355,69.659,270.0,top
D13,16.355,48.353,270.0,top
D14,16.355,55.973,270.0,top
D15,53.84,42.757,180.0,top
D16,53.84,45.019,180.0,top
D17,19.47,86.51,270.0,top
D2,48.6409,18.842,180.0,top
D3,20.9935,18.839,180.0,top
D4,62.4423,18.836,180.0,top
D5,34.8107,18.839,180.0,top
D6,76.2725,18.839,180.0,top
D7,19.47,91.85,270.0,top
D8,27.489,100.642,180.0,top
D9,53.813,100.642,0.0,top
J1,111.798,105.828,270.0,top
J10,10.86,52.423,180.0,top
J11,83.028,105.828,270.0,top
J12,21.0126,8.163,0.0,top
J13,34.8332,8.1735,0.0,top
J14,10.86,69.919,180.0,top
J15,48.6634,8.1765,0.0,top
J16,62.4648,8.1705,0.0,top
J17,76.295,8.1735,0.0,top
J18,102.5382,8.1735,0.0,top
J19,114.2124,8.1735,0.0,top
J2,127.663,84.933,0.0,top
J20,125.8866,8.1735,0.0,top
J21,137.5608,8.1735,0.0,top
J22,149.235,8.1735,0.0,top
J23,152.5155,52.183,90.0,top
J24,39.037,107.5,180.0,top
J25,128.634,105.828,90.0,top
J3,53.528,105.828,270.0,top
J4,27.739,105.828,270.0,top
J5,12.14,94.428,180.0,top
J6,141.032,105.5845,180.0,top
J8,90.864,8.1735,0.0,top
J9,7.192,8.1735,0.0,top
L2,138.914,87.367,180.0,top
Q1,7.851,19.5895,0.0,bottom
Q2,49.427,19.5925,0.0,bottom
Q3,21.78,19.5895,0.0,bottom
Q4,63.0185,19.5865,0.0,bottom
Q5,35.572,19.5895,0.0,bottom
Q6,77.022,19.5895,0.0,bottom
R1,46.4305,19.6575,90.0,bottom
R10,23.194,65.465,270.0,top
R11,23.194,61.568,90.0,top
R12,37.253,16.7385,270.0,bottom
R13,41.031,87.636,270.0,top
R14,43.016,87.64,90.0,top
R15,42.931,97.345,270.0,top
R16,17.64,95.698,0.0,top
R17,35.21,97.345,270.0,top
R18,74.062499,19.6545,90.0,bottom
R19,143.314,88.85,90.0,top
R2,9.591,16.7385,270.0,bottom
R20,132.391,91.298998,0.0,top
R21,135.491,90.398998,270.0,top
R22,78.7,16.7385,270.0,bottom
R23,22.691,72.767,0.0,top
R24,17.64,103.088,0.0,top
R25,17.64,105.18,0.0,top
R26,111.105,43.064,0.0,top
R27,97.387,40.952,0.0,top
R28,17.64,100.95,180.0,top
R29,57.626,42.757,0.0,top
R3,4.972,19.6545,90.0,bottom
R30,57.626,45.019,0.0,top
R31,109.105,40.952,0.0,top
R32,99.387,43.064,0.0,top
R33,85.677,40.952,0.0,top
R34,87.677,43.064,0.0,top
R35,120.687,40.952,0.0,top
R36,122.687,43.064,0.0,top
R37,132.387,40.952,0.0,top
R38,134.387,43.064,0.0,top
R39,144.087,40.952,0.0,top
R4,51.122,16.7415,270.0,bottom
R40,146.087,43.064,0.0,top
R5,18.771,19.6545,90.0,bottom
R6,23.551,16.7385,270.0,bottom
R7,60.174,19.6515,90.0,bottom
R8,64.712,16.7355,270.0,bottom
R9,32.6115,19.6545,90.0,bottom
U1,90.864,19.84815,90.0,top
U10,76.295,24.4125,270.0,top
U11,102.5382,19.84815,90.0,top
U12,7.192,24.4125,270.0,top
U13,114.2124,19.84815,90.0,top
U14,125.8866,19.84815,90.0,top
U15,137.5608,19.84815,90.0,top
U16,149.235,19.84815,90.0,top
U18,39.059182,95.346,90.0,top
U3,21.016,24.4085,270.0,top
U4,61.6625,63.456,180.0,top
U5,34.8332,24.4125,270.0,top
U6,138.883998,92.348999,270.0,top
U7,48.6634,24.4155,270.0,top
U8,62.4648,24.4095,270.0,top
U9,42.31,76.244,90.0,top
X1,39.471,55.645,0.0,top
Y1,45.356,61.38,0.0,top
